"host_species","host_phylum","host_class","host_order","host_family","host_in_gonzalos_list","diseases","has_pilot_disease","pilot_diseases","has_pilot_include_disease","pilot_include_diseases","Not_specified","PCR_Sequencing","Isolation_Observation","Antibodies","Any_PCR_Or_Observation","taxonomy_override_applied","taxonomy_override_notes","species_name","species_name_canonical","species_key","taxonomy_gap","known_non_target_class","human_domestic_or_livestock","not_pilot_include_disease","no_detection_evidence","existing_model_path","sdm_available","sdm_already_available","first_pass_eligible","eligibility_reasons","eligibility_status","taxonomy_review_needed","taxonomy_review_reason","analysis_unit_id","readiness_disease_name","disease_name","disease_is_pilot_include","species_role","sdm_needed_for_disease","sdm_species","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","target_status","synonym_review_status","synonym_notes"
"Alexandromys oeconomus","Chordata","Mammalia","Rodentia","Cricetidae",FALSE,"Omsk hemorrhagic fever; Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",0,3,2,0,5,FALSE,,"Alexandromys oeconomus","Alexandromys oeconomus","alexandromys oeconomus",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Alexandromys oeconomus/Alexandromys oeconomus.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Tick-borne encephalitis","Tick-borne encephalitis",TRUE,"host","yes","Alexandromys oeconomus","pending",11,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Allenopithecus nigroviridis","Chordata","Mammalia","Primates","Cercopithecidae",FALSE,"Mpox (Monkeypox)",TRUE,"Mpox (Monkeypox)",FALSE,"",1,0,0,1,0,FALSE,,"Allenopithecus nigroviridis","Allenopithecus nigroviridis","allenopithecus nigroviridis",FALSE,FALSE,FALSE,TRUE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Allenopithecus nigroviridis/Allenopithecus nigroviridis.rds",FALSE,FALSE,FALSE,"not_pilot_include_disease; no_pcr_or_observation_signal","review_not_pilot_include_disease",FALSE,,,"Mpox (Monkeypox)","Mpox (Monkeypox)",FALSE,"host","no","Allenopithecus nigroviridis","review_before_download",12,"gbif-download","gbif-download",2000,2026,20,"review_not_pilot_include_disease","not_audited",
"Alticola argentatus","Chordata","Mammalia","Rodentia","Cricetidae",FALSE,"Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",0,0,0,1,0,FALSE,,"Alticola argentatus","Alticola argentatus","alticola argentatus",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Alticola argentatus/Alticola argentatus.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Tick-borne encephalitis","Tick-borne encephalitis",TRUE,"host","yes","Alticola argentatus","pending",13,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Anoura geoffroyi","Chordata","Mammalia","Chiroptera","Phyllostomidae",FALSE,"Dengue; Rabies; Rocio virus encephalitis; Saint Louis encephalitis",TRUE,"Dengue",TRUE,"Dengue",1,0,0,3,0,FALSE,,"Anoura geoffroyi","Anoura geoffroyi","anoura geoffroyi",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Anoura geoffroyi/Anoura geoffroyi.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Dengue","Dengue",TRUE,"host","yes","Anoura geoffroyi","pending",14,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Anourosorex squamipes","Chordata","Mammalia","Eulipotyphla","Soricidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,3,0,0,3,FALSE,,"Anourosorex squamipes","Anourosorex squamipes","anourosorex squamipes",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Anourosorex squamipes/Anourosorex squamipes.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)",TRUE,"host","yes","Anourosorex squamipes","pending",15,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Anourosorex squamipes","Chordata","Mammalia","Eulipotyphla","Soricidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,3,0,0,3,FALSE,,"Anourosorex squamipes","Anourosorex squamipes","anourosorex squamipes",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Anourosorex squamipes/Anourosorex squamipes.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H7N9 avian influenza)","Influenza (H7N9 avian influenza)",TRUE,"host","yes","Anourosorex squamipes","pending",16,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Apodemus chejuensis","Chordata","Mammalia","Rodentia","Muridae",FALSE,"Hemorrhagic fever with renal syndrome (Hantaan virus)",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus)",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus)",0,1,0,0,1,FALSE,,"Apodemus chejuensis","Apodemus chejuensis","apodemus chejuensis",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Apodemus chejuensis/Apodemus chejuensis.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Hemorrhagic fever with renal syndrome (Hantaan virus)","Hemorrhagic fever with renal syndrome (Hantaan virus)",TRUE,"host","yes","Apodemus chejuensis","pending",17,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Apodemus pallipes","Chordata","Mammalia","Rodentia","Muridae",FALSE,"Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",0,0,0,1,0,FALSE,,"Apodemus pallipes","Apodemus pallipes","apodemus pallipes",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Apodemus pallipes/Apodemus pallipes.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Tick-borne encephalitis","Tick-borne encephalitis",TRUE,"host","yes","Apodemus pallipes","pending",18,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Arapaima gigas","Chordata","Actinopterygii","Osteoglossiformes","Osteoglossidae",FALSE,"Non-typhoidal salmonellosis",TRUE,"Non-typhoidal salmonellosis",FALSE,"",0,0,1,0,1,FALSE,,"Arapaima gigas","Arapaima gigas","arapaima gigas",FALSE,TRUE,FALSE,TRUE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Arapaima gigas/Arapaima gigas.rds",FALSE,FALSE,FALSE,"non_target_class:Actinopterygii; not_pilot_include_disease","review_non_target_class",TRUE,"non_target_class:Actinopterygii; not_pilot_include_disease",,"Non-typhoidal salmonellosis","Non-typhoidal salmonellosis",FALSE,"host","no","Arapaima gigas","review_before_download",19,"gbif-download","gbif-download",2000,2026,20,"review_non_target_class","not_audited",
"Artibeus cinereus","Chordata","Mammalia","Chiroptera","Phyllostomidae",FALSE,"Dengue; Rabies; Rocio virus encephalitis; Yellow fever",TRUE,"Dengue; Yellow fever",TRUE,"Dengue; Yellow fever",0,0,0,4,0,FALSE,,"Artibeus cinereus","Artibeus cinereus","artibeus cinereus",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Artibeus cinereus/Artibeus cinereus.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Dengue","Dengue",TRUE,"host","yes","Artibeus cinereus","pending",20,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Artibeus cinereus","Chordata","Mammalia","Chiroptera","Phyllostomidae",FALSE,"Dengue; Rabies; Rocio virus encephalitis; Yellow fever",TRUE,"Dengue; Yellow fever",TRUE,"Dengue; Yellow fever",0,0,0,4,0,FALSE,,"Artibeus cinereus","Artibeus cinereus","artibeus cinereus",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Artibeus cinereus/Artibeus cinereus.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Yellow fever","Yellow fever",TRUE,"host","yes","Artibeus cinereus","pending",21,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Ateles paniscus","Chordata","Mammalia","Primates","Atelidae",FALSE,"Chagas disease; Eastern equine encephalitis; Saint Louis encephalitis; Yellow fever",TRUE,"Yellow fever",TRUE,"Yellow fever",1,0,1,3,1,FALSE,,"Ateles paniscus","Ateles paniscus","ateles paniscus",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Ateles paniscus/Ateles paniscus.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Yellow fever","Yellow fever",TRUE,"host","yes","Ateles paniscus","pending",22,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Atherurus africanus","Chordata","Mammalia","Rodentia","Hystricidae",FALSE,"Mpox (Monkeypox)",TRUE,"Mpox (Monkeypox)",FALSE,"",0,0,0,1,0,FALSE,,"Atherurus africanus","Atherurus africanus","atherurus africanus",FALSE,FALSE,FALSE,TRUE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Atherurus africanus/Atherurus africanus.rds",FALSE,FALSE,FALSE,"not_pilot_include_disease; no_pcr_or_observation_signal","review_not_pilot_include_disease",FALSE,,,"Mpox (Monkeypox)","Mpox (Monkeypox)",FALSE,"host","no","Atherurus africanus","review_before_download",23,"gbif-download","gbif-download",2000,2026,20,"review_not_pilot_include_disease","not_audited",
"Babyrousa babyrussa","Chordata","Mammalia","Artiodactyla","Suidae",FALSE,"West Nile fever",TRUE,"West Nile fever",TRUE,"West Nile fever",0,0,0,1,0,FALSE,,"Babyrousa babyrussa","Babyrousa babyrussa","babyrousa babyrussa",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Babyrousa babyrussa/Babyrousa babyrussa.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"West Nile fever","West Nile fever",TRUE,"host","yes","Babyrousa babyrussa","pending",24,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Balaenoptera acutorostrata","Chordata","Mammalia","Artiodactyla","Balaenopteridae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,0,2,2,2,FALSE,,"Balaenoptera acutorostrata","Balaenoptera acutorostrata","balaenoptera acutorostrata",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Balaenoptera acutorostrata/Balaenoptera acutorostrata.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)",TRUE,"host","yes","Balaenoptera acutorostrata","pending",25,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Balaenoptera acutorostrata","Chordata","Mammalia","Artiodactyla","Balaenopteridae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,0,2,2,2,FALSE,,"Balaenoptera acutorostrata","Balaenoptera acutorostrata","balaenoptera acutorostrata",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Balaenoptera acutorostrata/Balaenoptera acutorostrata.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H7N9 avian influenza)","Influenza (H7N9 avian influenza)",TRUE,"host","yes","Balaenoptera acutorostrata","pending",26,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Bandicota bengalensis","Chordata","Mammalia","Rodentia","Muridae",FALSE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Hepatitis E",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Hepatitis E",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Hepatitis E",0,0,0,2,0,FALSE,,"Bandicota bengalensis","Bandicota bengalensis","bandicota bengalensis",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Bandicota bengalensis/Bandicota bengalensis.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Hemorrhagic fever with renal syndrome (Hantaan virus)","Hemorrhagic fever with renal syndrome (Hantaan virus)",TRUE,"host","yes","Bandicota bengalensis","pending",27,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Bandicota bengalensis","Chordata","Mammalia","Rodentia","Muridae",FALSE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Hepatitis E",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Hepatitis E",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Hepatitis E",0,0,0,2,0,FALSE,,"Bandicota bengalensis","Bandicota bengalensis","bandicota bengalensis",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Bandicota bengalensis/Bandicota bengalensis.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Hepatitis E","Hepatitis E",TRUE,"host","yes","Bandicota bengalensis","pending",28,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Bandicota savilei","Chordata","Mammalia","Rodentia","Muridae",FALSE,"Lassa fever",TRUE,"Lassa fever",TRUE,"Lassa fever",0,0,0,1,0,FALSE,,"Bandicota savilei","Bandicota savilei","bandicota savilei",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Bandicota savilei/Bandicota savilei.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Lassa fever","Lassa fever",TRUE,"host","yes","Bandicota savilei","pending",29,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Barbastella barbastellus","Chordata","Mammalia","Chiroptera","Vespertilionidae",FALSE,"Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",0,0,0,1,0,FALSE,,"Barbastella barbastellus","Barbastella barbastellus","barbastella barbastellus",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Barbastella barbastellus/Barbastella barbastellus.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Tick-borne encephalitis","Tick-borne encephalitis",TRUE,"host","yes","Barbastella barbastellus","pending",30,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Bassariscus astutus","Chordata","Mammalia","Carnivora","Procyonidae",FALSE,"Plague; Rabies",TRUE,"Plague",TRUE,"Plague",0,1,1,2,2,FALSE,,"Bassariscus astutus","Bassariscus astutus","bassariscus astutus",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Bassariscus astutus/Bassariscus astutus.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Plague","Plague",TRUE,"host","yes","Bassariscus astutus","pending",31,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Bos grunniens","Chordata","Mammalia","Artiodactyla","Bovidae",FALSE,"Bluetongue; Epizootic haemorrhagic disease; Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Lumpy skin disease; Rabies",TRUE,"Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,5,1,3,6,FALSE,,"Bos grunniens","Bos grunniens","bos grunniens",FALSE,FALSE,TRUE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Bos grunniens/Bos grunniens.rds",FALSE,FALSE,FALSE,"human_domestic_or_livestock","review_exclude_human_domestic_or_livestock",TRUE,"human_domestic_or_livestock",,"Hepatitis E","Hepatitis E",TRUE,"host","no","Bos grunniens","review_before_download",32,"gbif-download","gbif-download",2000,2026,20,"review_exclude_human_domestic_or_livestock","not_audited",
"Bos grunniens","Chordata","Mammalia","Artiodactyla","Bovidae",FALSE,"Bluetongue; Epizootic haemorrhagic disease; Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Lumpy skin disease; Rabies",TRUE,"Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,5,1,3,6,FALSE,,"Bos grunniens","Bos grunniens","bos grunniens",FALSE,FALSE,TRUE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Bos grunniens/Bos grunniens.rds",FALSE,FALSE,FALSE,"human_domestic_or_livestock","review_exclude_human_domestic_or_livestock",TRUE,"human_domestic_or_livestock",,"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)",TRUE,"host","no","Bos grunniens","review_before_download",33,"gbif-download","gbif-download",2000,2026,20,"review_exclude_human_domestic_or_livestock","not_audited",
