vector_name_working,vector_name_clean,vector_name_taxonomy_cleaned,vector_species_binomial,vector_infraspecific_epithet,vector_taxon_rank,vector_cleanup_method,vector_species_collapse_method,vector_species_collapsed_for_analysis,vector_review_note,source_dataset_examples,vector_family_examples,vector_genus_examples,row_count
Culiseta spp.,Culiseta spp.,Culiseta spp.,Culiseta spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,BloodMealMap,Culicidae,Culiseta,1
Eulaelaps sp.,Eulaelaps sp.,Eulaelaps sp.,Eulaelaps sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Laelapidae,Eulaelaps,1
Ficalbia spp.,Ficalbia spp.,Ficalbia spp.,Ficalbia spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,BloodMealMap,Culicidae,Ficalbia,1
Microtrombicula spp.,Microtrombicula spp.,Microtrombicula spp.,Microtrombicula spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Micotrombicula,1
Polygenis klagesi samuelis,Polygenis klagesi samuelis,Polygenis klagesi samuelis,Polygenis klagesi,samuelis,infraspecific,no_change,collapse_to_binomial_base_present,Polygenis klagesi,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Pulicidae,Polygenis,1
Polygenis roberti tripopsis,Polygenis roberti tripopsis,Polygenis roberti tripopsis,Polygenis roberti,tripopsis,infraspecific,no_change,collapse_to_binomial_base_present,Polygenis roberti,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Pulicidae,Polygenis,1
Pulex sp.,Pulex sp.,Pulex sp.,Pulex sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,FleaMap,Pulicidae,Pulex,1
Rhipicephalus sp.,Rhipicephalus sp.,Rhipicephalus sp.,Rhipicephalus sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Rhipicephalus,1
Rhopalopsyllus australis tamoyus,Rhopalopsyllus australis tamoyus,Rhopalopsyllus australis tamoyus,Rhopalopsyllus australis,tamoyus,infraspecific,no_change,collapse_to_binomial_base_present,Rhopalopsyllus australis,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Pulicidae,Rhopalopsyllus,1
Thrassis bacchi caducus,Thrassis bacchi caducus,Thrassis bacchi caducus,Thrassis bacchi,caducus,infraspecific,no_change,collapse_to_binomial_base_present,Thrassis bacchi,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Ceratophyllidae,Thrassis,1
